example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage
10,FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH,HE WAS STILL SUFFERING FROM THIS SUDDEN DISTURBANCE OF THE QUIET ROUTINE OF HIS LIFE,"In any verse, we are watching a beautiful, gorgeous story, which is basically just a special story, but it's something that is really disturbing and it gives us the courage to come to our eyes and say it's life-rescue.",False,1000,2.6147708892822266,0.15000000596046448,0.14946430921554565,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0005.flac,5105-28241-0005,0.15,stage1
11,BY THIS TIME THE TWO GENTLEMEN HAD REACHED THE PALINGS AND HAD GOT DOWN FROM THEIR HORSES IT WAS PLAIN THEY MEANT TO COME IN,SEE THAT YOUR LIVES BE IN NOTHING WORSE THAN A BOY'S CLIMBING FOR HIS ENTANGLED KITE,I was calling this person being very good and he got so on to make that kid hide his face. He was so young and it's beautiful.,False,1000,5.355782508850098,0.15000000596046448,0.14964622259140015,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0043.flac,2094-142345-0043,0.15,stage1
12,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,WHEN CALLED BEFORE I TOLD HOW HASTILY I DROPPED MY FLOWERS OR BRAKE OFF FROM A GAME,"Barker's offices have your good-being flavors only as high as three-day-go-round. 300-year-old Diana Grove, many have been friends from the Golan and Tender's Rizmany.",False,1000,4.84584903717041,0.15000000596046448,0.14943914115428925,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0019.flac,1320-122617-0019,0.15,stage1
13,I GREATLY MOURN THAT ONE SO WELL DISPOSED SHOULD DIE IN HIS IGNORANCE AND I HAVE SOUGHT A GOODLY HYMN CAN YOU LEAD ME TO HIM,DEPARTING FROM FIVE HUNDRED THOUSAND THROATS THREE CHEERS BURST FORTH IN SUCCESSION,"Right-right, you're in the middle of your smoke, your throw-out is free, there's been a big difference in the mechanism of the storm and the game will never end, but it's ready for the two East-Beynand.",False,1000,4.494537830352783,0.15000000596046448,0.14958716928958893,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0009.flac,1320-122617-0009,0.15,stage1
14,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS,THEN SAID SIR FERDINANDO THERE IS NOTHING FOR IT BUT THAT HE MUST TAKE YOU WITH HIM,"It will depend on your own, and ensure that life and life in our society is in our lives as a society for which we will take new lives and lives.",False,1000,2.655912160873413,0.15000000596046448,0.14951352775096893,stage1,LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac,1089-134691-0023,0.15,stage1
15,THAT EVENING TROT GAVE A GRAND BALL IN THE PALACE TO WHICH THE MOST IMPORTANT OF THE PINKIES AND THE BLUESKINS WERE INVITED,THE MILITARY FORCE PARTLY RABBLE PARTLY ORGANIZED HAD MEANWHILE MOVED INTO THE TOWN,"From a very serious, Italian-led, military-concepted, true talk, the first meeting later on, the event of the war has been over, and it has been ordered.",False,1000,4.059423923492432,0.15000000596046448,0.1495675891637802,stage1,LibriSpeech/test-clean/8555/284449/8555-284449-0019.flac,8555-284449-0019,0.15,stage1
16,BUT YOUR POWER IS SO SUPERIOR TO ANY THAT I CAN ADVANCE AS TO MAKE US HERE FEEL THAT THERE IS NO DISGRACE IN YIELDING TO IT,UPON THIS MADAME DEIGNED TO TURN HER EYES LANGUISHINGLY TOWARDS THE COMTE OBSERVING,"But the power that this had to do is the journey that I should know better. As for the magic of the eaves, they all lost their energy like the players in the river jurels.",False,1000,3.4366607666015625,0.15000000596046448,0.14923939108848572,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0033.flac,8455-210777-0033,0.15,stage1
17,THAT SUMMER'S EMIGRATION HOWEVER BEING MAINLY FROM THE FREE STATES GREATLY CHANGED THE RELATIVE STRENGTH OF THE TWO PARTIES,TABLES WERE SPREAD ON THE LAWN AND A DAINTY BUT SUBSTANTIAL REPAST WAS TO BE SERVED,The first group of people who were killed in the nearby area were the women who were killed. They were the first to get killed in the nearby area.,False,1000,6.1945600509643555,0.15000000596046448,0.14964468777179718,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0002.flac,7729-102255-0002,0.15,stage1
18,A FRESH WHOLESOME LOOKING BOY WAS TOM GATES WITH STEADY GRAY EYES AN INTELLIGENT FOREHEAD BUT A SENSITIVE RATHER WEAK MOUTH,DON'T YOU KNOW ONE ABOUT BACON AND TALLOW CANDLES CAN'T YOU TELL ANY LARDER STORIES,"After 30 years, we don't know any more about the world. You hope you will like us and we will try to get rid of you since we have a few days left.",False,1000,3.564783811569214,0.15000000596046448,0.14937695860862732,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,6829-68769-0021,0.15,stage1
19,SHE SPOKE WITH A SUDDEN ENERGY WHICH PARTOOK OF FEAR AND PASSION AND FLUSHED HER THIN CHEEK AND MADE HER LANGUID EYES FLASH,WHEREUPON LAKE LAUGHED QUIETLY STILL LOOKING ON THE ACE OF HEARTS WITH HIS SLY EYES,"Shuffle Jort to decline the city, and increase the public on edge. After, please don't choose to use the English for end-game thinking, and make it hard to see the rush of the race.",False,1000,3.4983034133911133,0.15000000596046448,0.14945854246616364,stage1,LibriSpeech/test-clean/5683/32879/5683-32879-0011.flac,5683-32879-0011,0.15,stage1
20,THERE IN THE CEDAR HOLLOW THEN LIVED OLIVE LORD AN ANGRY RESENTFUL LITTLE CREATURE WEIGHED DOWN BY A FIERCE SENSE OF INJURY,AMBROSE MET ME AT THE BOTTOM OF THE STAIRS AND SHOWED ME THE WAY TO THE SUPPER ROOM,"So now, I'm going to draw a little bit of the green tea. Just draw a little bit of the green tea and you're going to draw a little bit of the green tea. It's very nice to see it.",False,1000,3.8610148429870605,0.15000000596046448,0.1494518518447876,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0018.flac,4992-41797-0018,0.15,stage1
21,MISTER POPHAM EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNSAID IN HIS NARRATIVE OF THE FAMILY AT THE HOUSE OF LORDS,IS IT NOT IMPOSSIBLE HE MURMURED ALOUD THAT ANY CITY SHOULD DISAPPEAR SO COMPLETELY,"Good guess I'll have a search in the information. I don't know why, but I'm wondering if you guys are going to have a meeting with me today. I'm sure you guys have heard me. I'm sure you guys have heard me.",False,1000,3.450357437133789,0.15000000596046448,0.14956866204738617,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0008.flac,4992-41797-0008,0.15,stage1
22,OF COURSE HE REFLECTED SHE ALWAYS HAD THAT COMBINATION OF SOMETHING HOMELY AND SENSIBLE AND SOMETHING UTTERLY WILD AND DAFT,TRUE HISTORY BEING A MIXTURE OF ALL THINGS THE TRUE HISTORIAN MINGLES IN EVERYTHING,"From here through courses, we will use all the equipment used as a facility and a seminar to make sure that we can get all of the items.",False,1000,4.153665065765381,0.15000000596046448,0.1494992971420288,stage1,LibriSpeech/test-clean/4446/2271/4446-2271-0020.flac,4446-2271-0020,0.15,stage1
23,EVERYTHING HE HAS DONE HAS BEEN AIMED AT THE CONSERVATION OF ENERGY THE CONTRACTION OF SPACE THE INTENSIFICATION OF CULTURE,BARTLEY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES,"The sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining, the sun is shining",False,1000,5.240716457366943,0.15000000596046448,0.14942869544029236,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0008.flac,2300-131720-0008,0.15,stage1
24,SHE HAD BEEN BORN WITHIN ITS BORDERS WITHIN ITS BORDERS SHE HAD LIVED AND GROWN AND WITHIN ITS BORDERS SHE HAD MET HER LOVE,THEY ASKED HIM TO COME TO SEE THEM IN CHELSEA AND THEY SPOKE VERY TENDERLY OF HILDA,"In the Compeon, I think you can see the success of the movement in Thailand, it's the 3rd floor in the United States of America.",False,1000,3.5717926025390625,0.15000000596046448,0.14942854642868042,stage1,LibriSpeech/test-clean/1995/1837/1995-1837-0026.flac,1995-1837-0026,0.15,stage1
25,HERE SHE WAS TEACHING DIRTY CHILDREN AND THE SMELL OF CONFUSED ODORS AND BODILY PERSPIRATION WAS TO HER AT TIMES UNBEARABLE,AS USED IN THE SPEECH OF EVERYDAY LIFE THE WORD CARRIES AN UNDERTONE OF DEPRECATION,"Cool, the sun comes daily at 3pm, and the weather is very nice. Look, the weather is stunning, the weather is very nice.",False,1000,5.002314567565918,0.15000000596046448,0.14962655305862427,stage1,LibriSpeech/test-clean/1995/1826/1995-1826-0011.flac,1995-1826-0011,0.15,stage1
26,TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT,PAUL DECLARES THAT THE FALSE APOSTLES WERE CALLED OR SENT NEITHER BY MEN NOR BY MAN,"So we can do it. And as I say, I got the chance to take the K-11, so I think it's awesome to have some depth on how to do part of the Seller's Red ending title and the Free Decor.",False,1000,4.883644104003906,0.15000000596046448,0.149480938911438,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0019.flac,7729-102255-0019,0.15,stage1
27,WOMEN CAN HIDE THEIR PAIN BETTER THAN WE MEN AND BEAR IT BETTER TOO EXCEPT WHEN SHAME DROPS FIRE INTO THE DREADFUL CHALICE,I TAKE THIS AS MY ANSWER AND I LEAVE THE PROFESSOR TO BITE HIS LIPS WITH IMPATIENCE,"I'm really glad to see you today. You said that as my new mom, you can't stop seeing me. You have to do the little news for us, and I'm currently speaking to you about fansos and companies.",False,1000,4.584225177764893,0.15000000596046448,0.14964412152767181,stage1,LibriSpeech/test-clean/5683/32879/5683-32879-0003.flac,5683-32879-0003,0.15,stage1
28,RALPH THURSTON HAD FOUND A LINE OF LATIN FOR THEM IN HIS BELOVED HORACE TIBI SPLENDET FOCUS FOR YOU THE HEARTH FIRE SHINES,I ENTERED AND I TOOK YOU INTO MY CONFIDENCE AS TO THE SUGGESTIONS OF THE SIDE TABLE,I think it's a kind of a love and support for the director. I think it's a kind of a love and support for the director.,False,1000,4.9593610763549805,0.15000000596046448,0.14971406757831573,stage1,LibriSpeech/test-clean/4992/41806/4992-41806-0006.flac,4992-41806-0006,0.15,stage1
29,WHEN SHE COULD NOT MAKE A RABBIT OR A BIRD LOOK REAL ON PAPER SHE SEARCHED IN HER FATHER'S BOOKS FOR PICTURES OF ITS BONES,SOMETIMES IT IS CALLED A CRAZY QUILT BECAUSE THE PATCHES AND COLORS ARE SO MIXED UP,The new Sichuan National University of New York has been officially called the Rift. The new Sichuan National University of New York is a grown.,False,1000,4.903560638427734,0.15000000596046448,0.14951317012310028,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0014.flac,4992-41797-0014,0.15,stage1
30,THE QUESTION IS WHICH OF THE TWO METHODS WILL MOST EFFECTIVELY REACH THE PERSONS WHOSE CONVICTIONS IT IS DESIRED TO AFFECT,IT WASN'T SIMPLY THAT SHE SAID SO BUT THAT I KNEW SHE HADN'T I WAS SURE I COULD SEE,"I'll try to hear how the first place has been next, but I know it's a bit late, but I know it's not. I have to get into the house, I can see.",False,1000,4.03977632522583,0.15000000596046448,0.14942429959774017,stage1,LibriSpeech/test-clean/3570/5695/3570-5695-0008.flac,3570-5695-0008,0.15,stage1
31,NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INCUR,HE STOOD STILL IN DEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS,"Startless journey and narrow ways of those guests to last close, mentally and proudly hundreds of all her絕 defences to the meter in the sauce of each verse.",False,1000,3.8758716583251953,0.15000000596046448,0.1494411677122116,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0000.flac,1320-122617-0000,0.15,stage1
32,AT THE FOOT OF THE MOUNTAIN THAT SEPARATED THE COUNTRY OF THE MUNCHKINS FROM THE COUNTRY OF THE GILLIKINS THE PATH DIVIDED,MUSSULMANS AND GIAOURS THROW KERCHIEFS AT A SMILE AND HAVE NO RUTH FOR ANY WEEPING,But the slowest of the layers in the stroke many different than the only day that it can turn into the kitchen is the most comfortable.,False,1000,4.904084205627441,0.15000000596046448,0.1495256870985031,stage1,LibriSpeech/test-clean/1284/1180/1284-1180-0006.flac,1284-1180-0006,0.15,stage1
33,A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZEWRAPPED CITY,THIS SHE SAID WAS TRUE HOSPITALITY AND I AM NOT SURE THAT I DID NOT AGREE WITH HER,"I'm not not so before, but those who have been fighting for the same thing that has already been found today are forcing the character to be called a group of all over the present.",False,1000,3.841082811355591,0.15000000596046448,0.14960235357284546,stage1,LibriSpeech/test-clean/1089/134691/1089-134691-0025.flac,1089-134691-0025,0.15,stage1
34,HE PLANTED A COMPANY BEFORE THE HOTEL AND DEMANDED A SURRENDER OF THE ARMS BELONGING TO THE FREE STATE MILITARY COMPANIES,MY WIFE ON THE SPUR OF THE MOMENT MANAGED TO GIVE THE GENTLEMEN A VERY GOOD DINNER,"Extend your seat for the entrance where you might see the first exit of the road and the second pass, and then get a few of your energy together.",False,1000,4.008058071136475,0.15000000596046448,0.1495819091796875,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0036.flac,7729-102255-0036,0.15,stage1
35,IN THE OLD BADLY MADE PLAY IT WAS FREQUENTLY NECESSARY FOR ONE OF THE CHARACTERS TO TAKE THE AUDIENCE INTO HIS CONFIDENCE,THE FIRST OF OUR VAGUE BUT INDUBITABLE DATA IS THAT THERE IS KNOWLEDGE OF THE PAST,"The refrigerator to charge a hand in the silence first to head you to the bathroom for the living begilert, so keep watching until the complete compilert.",False,1000,5.748510837554932,0.15000000596046448,0.1497107744216919,stage1,LibriSpeech/test-clean/7176/92135/7176-92135-0017.flac,7176-92135-0017,0.15,stage1
36,FOR A MOMENT BETH STOOD STARING WHILE THE NEW MAID REGARDED HER WITH COMPOSURE AND A SLIGHT SMILE UPON HER BEAUTIFUL FACE,HE CONTINUED HIS PRETENDED SEARCH AND TO GIVE COLOR TO HIS ERRAND MADE TWO ARRESTS,"So I'm Murrion, thanks for the wonderful experience. I'm here to have an American right man Murrion and two American people.",False,1000,2.9267828464508057,0.15000000596046448,0.1494886726140976,stage1,LibriSpeech/test-clean/6829/68771/6829-68771-0018.flac,6829-68771-0018,0.15,stage1
37,RODOLFO ARRIVED AT HIS OWN HOUSE WITHOUT ANY IMPEDIMENT AND LEOCADIA'S PARENTS REACHED THEIRS HEART BROKEN AND DESPAIRING,LORD JOHN TAKING OUT GOLD CIGARETTE CASE FROM HIS LEFT HAND UPPER WAISTCOAT POCKET,I will show you how to make a great place to go to.,False,1000,6.1934099197387695,0.15000000596046448,0.1496194750070572,stage1,LibriSpeech/test-clean/5639/40744/5639-40744-0006.flac,5639-40744-0006,0.15,stage1
38,SHE'S WONDERFUL MORE WONDERFUL THAN ANYBODY WE'VE EVER SEEN ANYWHERE AND SHE DRAWS BETTER THAN THE TEACHER IN CHARLESTOWN,WELL SAID MADEMOISELLE DE TONNAY CHARENTE I ALSO THINK A GOOD DEAL BUT I TAKE CARE,"Oh, cool! No, wasn't there any brand new test of the day, Karen? It's good to go like two others, but you're still in high school yesterday.",False,1000,4.176992416381836,0.15000000596046448,0.14951305091381073,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0021.flac,4992-41797-0021,0.15,stage1
39,THE SIGHT OF YOU BARTLEY TO SEE YOU LIVING AND HAPPY AND SUCCESSFUL CAN I NEVER MAKE YOU UNDERSTAND WHAT THAT MEANS TO ME,HERS HAPPENED TO BE IN THE SAME FRAME TOO BUT SHE EVIDENTLY DIDN'T CARE ABOUT THAT,The bus goes to the station to the station to have a clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean clean,False,1000,3.808267593383789,0.15000000596046448,0.1493469476699829,stage1,LibriSpeech/test-clean/4446/2275/4446-2275-0040.flac,4446-2275-0040,0.15,stage1
40,THIS SENTENCE ALSO DEFINES OUR SINS AS GREAT SO GREAT IN FACT THAT THE WHOLE WORLD COULD NOT MAKE AMENDS FOR A SINGLE SIN,THUS IT IS THAT THE HONOR OF THREE IS SAVED OUR COUNTRY'S OUR MASTER'S AND OUR OWN,This is the end of the day. The only thing you can do is to stay there. You can hold your own door and you can do anything you want.,False,1000,3.501918077468872,0.15000000596046448,0.1495552957057953,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0067.flac,2830-3980-0067,0.15,stage1
41,DID EVER ANYBODY SEE THE LIKE SCREAMED MISSUS POYSER RUNNING TOWARDS THE TABLE WHEN HER EYE HAD FALLEN ON THE BLUE STREAM,ELIZA CLOSED THE DOOR BEHIND HER WITH A DECIDED SLAM AND A KEY CLICKED IN THE LOCK,"Look several and upon your speed away, and in the forward, run in the forward to the ahead, with the wide and wide towering and great spin-ass.",False,1000,4.457468032836914,0.15000000596046448,0.14950628578662872,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0029.flac,2094-142345-0029,0.15,stage1
42,HE KNEW IT WOULD TAKE THEM TO THE HOUSE OF THE CROOKED MAGICIAN WHOM HE HAD NEVER SEEN BUT WHO WAS THEIR NEAREST NEIGHBOR,ROBIN CAREFULLY DESCENDED THE LADDER AND FOUND HIMSELF SOON UPON FIRM ROCKY GROUND,Prevent the rejection of the author of the cooking of the food. Think it only images you to an eighth-year wait.,False,1000,5.233837127685547,0.15000000596046448,0.14964905381202698,stage1,LibriSpeech/test-clean/1284/1180/1284-1180-0007.flac,1284-1180-0007,0.15,stage1
43,THE FIRST OF THESE TOUCHES CONVEYED THAT THE WRITTEN STATEMENT TOOK UP THE TALE AT A POINT AFTER IT HAD IN A MANNER BEGUN,THERE WAS NO CHANCE TO ALTER HIS SLEEPING ROOM TO ONE NEARER TO GAMEWELL'S CHAMBER,"In the next video, we will be making a special video about the development of the project.",False,1000,4.665890693664551,0.15000000596046448,0.1494172364473343,stage1,LibriSpeech/test-clean/121/127105/121-127105-0026.flac,121-127105-0026,0.15,stage1
