example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,reason,iteration_history,audio_file,audio_name,stage1_distortion,final_stage
10,FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH,HE WAS STILL SUFFERING FROM THIS SUDDEN DISTURBANCE OF THE QUIET ROUTINE OF HIS LIFE,the,False,-1,9.7924165725708,0.15000000596046448,0.10018420219421387,stage1,,,LibriSpeech/test-clean/5105/28241/5105-28241-0005.flac,5105-28241-0005,0.15,stage1
11,BY THIS TIME THE TWO GENTLEMEN HAD REACHED THE PALINGS AND HAD GOT DOWN FROM THEIR HORSES IT WAS PLAIN THEY MEANT TO COME IN,SEE THAT YOUR LIVES BE IN NOTHING WORSE THAN A BOY'S CLIMBING FOR HIS ENTANGLED KITE,"At this time, the sea champion named the Skatswake and its long-standing third-hage. There was quite a lot of people in the community.",False,-1,10.252069473266602,0.15000000596046448,0.10005276650190353,stage1,,,LibriSpeech/test-clean/2094/142345/2094-142345-0043.flac,2094-142345-0043,0.15,stage1
12,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,WHEN CALLED BEFORE I TOLD HOW HASTILY I DROPPED MY FLOWERS OR BRAKE OFF FROM A GAME,"Oh, it does have the target distance as it has more than 1,000 enemy targets. So you're really going to land on low-tan at the same distance as the positional arms you're going to reach or where it is in 560.",False,-1,12.11649227142334,0.15000000596046448,0.10030300915241241,stage1,,,LibriSpeech/test-clean/1320/122617/1320-122617-0019.flac,1320-122617-0019,0.15,stage1
13,I GREATLY MOURN THAT ONE SO WELL DISPOSED SHOULD DIE IN HIS IGNORANCE AND I HAVE SOUGHT A GOODLY HYMN CAN YOU LEAD ME TO HIM,DEPARTING FROM FIVE HUNDRED THOUSAND THROATS THREE CHEERS BURST FORTH IN SUCCESSION,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/1320/122617/1320-122617-0009.flac,1320-122617-0009,0.0,stage1
14,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS,THEN SAID SIR FERDINANDO THERE IS NOTHING FOR IT BUT THAT HE MUST TAKE YOU WITH HIM,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac,1089-134691-0023,0.0,stage1
15,THAT EVENING TROT GAVE A GRAND BALL IN THE PALACE TO WHICH THE MOST IMPORTANT OF THE PINKIES AND THE BLUESKINS WERE INVITED,THE MILITARY FORCE PARTLY RABBLE PARTLY ORGANIZED HAD MEANWHILE MOVED INTO THE TOWN,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/8555/284449/8555-284449-0019.flac,8555-284449-0019,0.0,stage1
16,BUT YOUR POWER IS SO SUPERIOR TO ANY THAT I CAN ADVANCE AS TO MAKE US HERE FEEL THAT THERE IS NO DISGRACE IN YIELDING TO IT,UPON THIS MADAME DEIGNED TO TURN HER EYES LANGUISHINGLY TOWARDS THE COMTE OBSERVING,This is why this now the social periods or something that I have some advice for. Has to make what's here a genius I started to know you're the way I'm still new to the world.,False,-1,11.04647159576416,0.15000000596046448,0.10000938177108765,stage1,,,LibriSpeech/test-clean/8455/210777/8455-210777-0033.flac,8455-210777-0033,0.15,stage1
17,THAT SUMMER'S EMIGRATION HOWEVER BEING MAINLY FROM THE FREE STATES GREATLY CHANGED THE RELATIVE STRENGTH OF THE TWO PARTIES,TABLES WERE SPREAD ON THE LAWN AND A DAINTY BUT SUBSTANTIAL REPAST WAS TO BE SERVED,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/7729/102255/7729-102255-0002.flac,7729-102255-0002,0.0,stage1
18,A FRESH WHOLESOME LOOKING BOY WAS TOM GATES WITH STEADY GRAY EYES AN INTELLIGENT FOREHEAD BUT A SENSITIVE RATHER WEAK MOUTH,DON'T YOU KNOW ONE ABOUT BACON AND TALLOW CANDLES CAN'T YOU TELL ANY LARDER STORIES,required the toast and their ginger on the concurrent plate. So it's a second fan letter for this final sweet and fragrant. The color service is a remnant and very different.,False,-1,10.823630332946777,0.15000000596046448,0.09982430934906006,stage1,,,LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,6829-68769-0021,0.15,stage1
19,SHE SPOKE WITH A SUDDEN ENERGY WHICH PARTOOK OF FEAR AND PASSION AND FLUSHED HER THIN CHEEK AND MADE HER LANGUID EYES FLASH,WHEREUPON LAKE LAUGHED QUIETLY STILL LOOKING ON THE ACE OF HEARTS WITH HIS SLY EYES,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/5683/32879/5683-32879-0011.flac,5683-32879-0011,0.0,stage1
